0,1,2
3.290443148192297,"{'C': 50, 'epsilon': 0.01, 'max_iter': 10, 'tolerance': 0.001, 'degree': 4, 'offset': 3}","[3.178734745595699, 2.554684843629348, 3.5746330870862426, 4.537175603160632, 2.606987461489562]"
3.46304696136688,"{'C': 50, 'epsilon': 0.1, 'max_iter': 10, 'tolerance': 0.01, 'degree': 3, 'offset': 2}","[3.802499244900076, 3.1632966383360612, 3.0860178444116273, 3.814597456169368, 3.4488236230172693]"
3.5106968130857417,"{'C': 75, 'epsilon': 0.1, 'max_iter': 10, 'tolerance': 0.01, 'degree': 3, 'offset': 1}","[3.365558342160911, 3.760993970681381, 3.578837145751146, 4.367620797848251, 2.4804738089870173]"
3.5492073653892087,"{'C': 75, 'epsilon': 0.1, 'max_iter': 10, 'tolerance': 0.01, 'degree': 4, 'offset': 1}","[3.1489928827716533, 3.096120880449846, 5.288778804189488, 2.906093320160508, 3.306050939374546]"
3.565086313041083,"{'C': 50, 'epsilon': 0.01, 'max_iter': 10, 'tolerance': 0.001, 'degree': 3, 'offset': 3}","[3.747455340706734, 2.7722743462957244, 3.927376151126464, 4.425723329382708, 2.9526023976937825]"
3.578649358647726,"{'C': 50, 'epsilon': 0.01, 'max_iter': 50, 'tolerance': 0.001, 'degree': 5, 'offset': 1}","[4.197272153019967, 3.115755926478322, 3.7380536390335677, 3.2181369085086695, 3.6240281661981038]"
3.6376423431964766,"{'C': 100, 'epsilon': 0.1, 'max_iter': 10, 'tolerance': 0.001, 'degree': 5, 'offset': 2}","[4.038189765595714, 2.8677476770934294, 4.067729065628207, 4.1082318051527205, 3.106313402512315]"
3.657643089232103,"{'C': 50, 'epsilon': 0.1, 'max_iter': 10, 'tolerance': 0.001, 'degree': 4, 'offset': 1}","[4.507198074028482, 3.536661143529261, 3.995438688994113, 3.3836272977269264, 2.8652902418817328]"
3.669146936888267,"{'C': 75, 'epsilon': 0.01, 'max_iter': 10, 'tolerance': 0.001, 'degree': 5, 'offset': 3}","[3.8929030871649344, 3.5265041529479277, 4.489952614764716, 3.3497869597387737, 3.086587869824984]"
3.691037919375566,"{'C': 50, 'epsilon': 0.1, 'max_iter': 50, 'tolerance': 0.01, 'degree': 3, 'offset': 5}","[3.3922222600870966, 3.3474275093652186, 4.817559458661466, 3.8522179962697947, 3.045762372494255]"
3.7034515269638844,"{'C': 100, 'epsilon': 0.01, 'max_iter': 50, 'tolerance': 0.001, 'degree': 4, 'offset': 1}","[4.536122930105136, 4.519337384574185, 3.0287681497151167, 3.029865470882462, 3.403163699542526]"
3.707056641310227,"{'C': 75, 'epsilon': 0.1, 'max_iter': 10, 'tolerance': 0.001, 'degree': 3, 'offset': 2}","[2.630286908849, 4.22626783144093, 3.4447124884413767, 3.723819269497468, 4.510196708322361]"
3.7138181475988303,"{'C': 75, 'epsilon': 0.1, 'max_iter': 50, 'tolerance': 0.01, 'degree': 4, 'offset': 3}","[3.599619559875278, 3.0789887925487878, 3.644499242046459, 4.277355951130032, 3.968627192393597]"
3.718789329199345,"{'C': 50, 'epsilon': 0.1, 'max_iter': 50, 'tolerance': 0.001, 'degree': 5, 'offset': 1}","[3.163865158212459, 4.151278992470729, 3.767197771847414, 3.8452803199531704, 3.666324403512952]"
3.7341132677055464,"{'C': 100, 'epsilon': 0.1, 'max_iter': 50, 'tolerance': 0.001, 'degree': 4, 'offset': 1}","[3.3700572973170915, 2.7175109170408254, 4.541132172476288, 4.221775957051811, 3.8200899946417155]"
3.738705946053268,"{'C': 75, 'epsilon': 0.1, 'max_iter': 10, 'tolerance': 0.001, 'degree': 5, 'offset': 3}","[3.0530632087166976, 6.598404997701026, 3.3267936703785463, 3.069239241758137, 2.646028611711932]"
3.7442346295388775,"{'C': 100, 'epsilon': 0.01, 'max_iter': 10, 'tolerance': 0.01, 'degree': 4, 'offset': 5}","[3.561010037077555, 3.749429470019126, 3.6527966718000364, 4.405596062188586, 3.352340906609081]"
3.756096402902717,"{'C': 75, 'epsilon': 0.1, 'max_iter': 50, 'tolerance': 0.001, 'degree': 5, 'offset': 1}","[3.7045853694205673, 3.778482274571929, 3.7798685160641003, 4.688048466109907, 2.8294973883470775]"
3.799436639723808,"{'C': 100, 'epsilon': 0.01, 'max_iter': 10, 'tolerance': 0.001, 'degree': 3, 'offset': 1}","[3.96607075591588, 2.664618260683169, 4.239366081337055, 4.615928640429832, 3.5111994602531036]"
3.801627717486086,"{'C': 100, 'epsilon': 0.01, 'max_iter': 10, 'tolerance': 0.001, 'degree': 5, 'offset': 2}","[3.0954991903586677, 4.059628035414448, 3.404224720812529, 3.036059305553317, 5.412727335291468]"
3.802665743159359,"{'C': 100, 'epsilon': 0.1, 'max_iter': 50, 'tolerance': 0.001, 'degree': 5, 'offset': 1}","[4.641823547947377, 3.4743468061007663, 3.337079337617116, 4.408134645167952, 3.151944378963584]"
3.8042042916002563,"{'C': 75, 'epsilon': 0.01, 'max_iter': 10, 'tolerance': 0.01, 'degree': 4, 'offset': 5}","[4.611560443248733, 4.821932910261374, 2.7067595381203025, 3.122960034857853, 3.7578085315130214]"
3.8421965310034296,"{'C': 75, 'epsilon': 0.1, 'max_iter': 50, 'tolerance': 0.001, 'degree': 5, 'offset': 5}","[3.415783959223773, 4.770864708790188, 4.0346498286579955, 2.4127560093220115, 4.576928149023182]"
3.846731236774133,"{'C': 100, 'epsilon': 0.1, 'max_iter': 10, 'tolerance': 0.001, 'degree': 3, 'offset': 1}","[3.8451267726366076, 4.0161895834377574, 3.4909357800629106, 3.5187739750225133, 4.362630072710874]"
