0,1,2
2.0171959454720687,"{'C': 100, 'epsilon': 0.001, 'gamma': 0.5, 'max_iter': 50, 'tolerance': 0.01}","[2.0213632019632244, 2.080123596047085, 2.1158939370093903, 1.953463517514092, 1.9151354748265508]"
2.029599578801912,"{'C': 100, 'epsilon': 0.1, 'gamma': 0.5, 'max_iter': 50, 'tolerance': 0.0001}","[2.0407501317127767, 2.0468245363180557, 1.990704571436401, 2.121169311121738, 1.9485493434205878]"
2.067793297815921,"{'C': 50, 'epsilon': 0.1, 'gamma': 0.75, 'max_iter': 100, 'tolerance': 0.01}","[2.0598567456338346, 2.1019731575362908, 2.039383892059777, 2.0639927156705777, 2.0737599781791243]"
2.0689107584801656,"{'C': 100, 'epsilon': 0.01, 'gamma': 0.5, 'max_iter': 50, 'tolerance': 0.01}","[2.0035653257944634, 2.127421083605951, 2.145880475671414, 2.1587387073190314, 1.9089482000099685]"
2.0733355086256826,"{'C': 50, 'epsilon': 0.001, 'gamma': 0.75, 'max_iter': 50, 'tolerance': 0.01}","[2.0499169817698863, 2.105855147589076, 2.0906612199133137, 2.0229064041930256, 2.097337789663109]"
2.0738128302143637,"{'C': 100, 'epsilon': 0.01, 'gamma': 0.5, 'max_iter': 100, 'tolerance': 0.001}","[2.024433244746724, 2.0661136386555667, 2.083421367753947, 1.9918880104049295, 2.2032078895106517]"
2.0744212831735807,"{'C': 50, 'epsilon': 0.01, 'gamma': 0.75, 'max_iter': 10, 'tolerance': 0.01}","[2.0635892034819117, 2.091854160416166, 2.0244853848019386, 2.1277096561926077, 2.064468010975279]"
2.074788650873658,"{'C': 50, 'epsilon': 0.1, 'gamma': 0.75, 'max_iter': 10, 'tolerance': 0.01}","[2.0522811045136415, 2.1152131729113757, 2.0808664826698693, 2.05514554211125, 2.070436952162152]"
2.0751994633716246,"{'C': 50, 'epsilon': 0.01, 'gamma': 0.75, 'max_iter': 100, 'tolerance': 0.01}","[2.0348445318489055, 2.0854237631212236, 2.073834727758229, 2.104412715457702, 2.0774815786720633]"
2.076833611633675,"{'C': 50, 'epsilon': 0.1, 'gamma': 0.75, 'max_iter': 10, 'tolerance': 0.0001}","[2.0773034752850252, 2.1137043152899238, 2.0752278758336975, 2.0490864401922715, 2.0688459515674587]"
2.0799995810400382,"{'C': 50, 'epsilon': 0.01, 'gamma': 0.75, 'max_iter': 50, 'tolerance': 0.0001}","[2.0359936585577763, 2.10912364256378, 2.0655592076501956, 2.1194083705946007, 2.06991302583384]"
2.081920521811026,"{'C': 100, 'epsilon': 0.01, 'gamma': 0.5, 'max_iter': 50, 'tolerance': 0.001}","[1.952549853954847, 2.11766787173781, 2.1665369555848426, 2.195369536134803, 1.9774783916428287]"
2.0843938345673036,"{'C': 50, 'epsilon': 0.01, 'gamma': 0.75, 'max_iter': 100, 'tolerance': 0.001}","[1.9848725171177606, 2.0975801451191916, 2.077344578558479, 2.1753576673949833, 2.086814264646105]"
2.084896096281345,"{'C': 100, 'epsilon': 0.01, 'gamma': 0.5, 'max_iter': 100, 'tolerance': 0.01}","[2.009708511849963, 2.084637314236886, 2.224271119996084, 2.095904275154051, 2.0099592601697407]"
2.085490126141786,"{'C': 50, 'epsilon': 0.01, 'gamma': 0.75, 'max_iter': 10, 'tolerance': 0.0001}","[2.08869562775585, 2.1149352938625094, 2.065712482257625, 2.06201857914704, 2.0960886476859053]"
2.089069244793154,"{'C': 50, 'epsilon': 0.1, 'gamma': 0.75, 'max_iter': 100, 'tolerance': 0.0001}","[2.0604351406434445, 2.1249387206507326, 2.08396667439958, 2.0921204225975814, 2.083885265674431]"
2.0926748389759515,"{'C': 50, 'epsilon': 0.001, 'gamma': 0.75, 'max_iter': 10, 'tolerance': 0.01}","[2.0556594244216, 2.10916697617168, 2.0781634326361904, 2.132551263608661, 2.087833098041625]"
2.0927697928230438,"{'C': 50, 'epsilon': 0.1, 'gamma': 0.75, 'max_iter': 100, 'tolerance': 0.001}","[2.0655041949524082, 2.133004477432266, 2.0830169593816272, 2.102145700402342, 2.0801776319465732]"
2.093209288298934,"{'C': 50, 'epsilon': 0.001, 'gamma': 0.75, 'max_iter': 10, 'tolerance': 0.0001}","[2.0655456729304347, 2.111482651543739, 2.0625635584523336, 2.1424197974054735, 2.084034761162689]"
2.0938997304067812,"{'C': 50, 'epsilon': 0.01, 'gamma': 0.75, 'max_iter': 50, 'tolerance': 0.01}","[2.0525287861766857, 2.1076709736687693, 2.0893688701507713, 2.113068271643032, 2.106861750394649]"
2.093920392887178,"{'C': 75, 'epsilon': 0.1, 'gamma': 0.75, 'max_iter': 10, 'tolerance': 0.001}","[2.037369437659409, 2.1433775500402943, 2.061156287669502, 2.0964649683978287, 2.131233720668856]"
2.097829964923864,"{'C': 75, 'epsilon': 0.1, 'gamma': 0.75, 'max_iter': 10, 'tolerance': 0.01}","[2.0660045638598667, 2.1199529990920887, 2.059483295201582, 2.107579801106983, 2.136129165358799]"
